FundCode,FundName,Category,GroupCategory,FundHouse,WMC,Subscribe,Price,PriceDate,Currency,Risk,RetYTD(%),Ret1W(%),Ret1M(%),Ret3M(%),Ret6M(%),Ret1Y(%),Ret2Y(%),Ret3Y(%),Ret5Y(%),Yield(%),YieldDate,MgmtFee(%),ISIN,StarRating,BalancedRisk,BalancedRegion,BondType,BondRegion,EquityStyle
U44078,"鄧普頓環球總收益基金A類 (歐元 每月分派-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","富蘭克林鄧普頓投資",N,N,6.79,18-09-2026,歐羅,4,8.13,-0.44,0.95,3.22,5.13,10.76,-0.69,1.91,1.85,7.77,31-08-2026,1.05,LU0234926953,2,"","","靈活策略","環球",""
U43932,"鄧普頓環球總收益基金A類 (美元 每月分派-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","富蘭克林鄧普頓投資",N,N,7.8,18-09-2026,美元,4,5.64,-1.39,0.14,3.31,5.1,7.88,-6.88,5.25,-5.18,7.78,31-08-2026,1.05,LU0170475585,3,"","","靈活策略","環球",""
U43897,"鄧普頓環球債券基金A類 (歐元 每月分派-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","富蘭克林鄧普頓投資",N,N,9.41,18-09-2026,歐羅,4,6.23,-0.11,0.95,1.81,3.52,6.71,-6.14,-1.15,2.12,6.3,31-08-2026,1.05,LU0152981543,2,"","","靈活策略","環球",""
U43909,"鄧普頓環球總收益基金A類 (美元 累積)","環球債券 - 靈活策略","環球債券 - 靈活策略","富蘭克林鄧普頓投資",N,N,28.99,18-09-2026,美元,4,5.61,-1.39,0.17,3.39,5.19,7.89,-6.92,5.19,-5.16,0,31-08-2026,1.05,LU0170475312,3,"","","靈活策略","環球",""
U45792,"資本集團 - 全球高收益機會基金(盧森堡) BFDM類 (港元 每月分派-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","資本集團",N,Y,218.0193,18-09-2026,港元,4,1.63,-0.21,-0.82,-0.65,1.4,3.06,3.22,10.82,0.63,6.92,31-08-2026,1.3,LU1598307137,4,"","","靈活策略","環球",""
U45791,"資本集團 - 全球高收益機會基金(盧森堡) BFDM類 (美元 每月分派-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","資本集團",N,Y,27.7898,18-09-2026,美元,4,0.82,-0.25,-0.84,-0.74,1.32,2.18,3.77,10.76,0.05,6.92,31-08-2026,1.3,LU1598307301,4,"","","靈活策略","環球",""
U45631,"富達基金 - 環球收益基金A類別股份 (港元 C每月派息(G)-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","富達基金(香港)有限公司",N,Y,9.457,18-09-2026,港元,2,0.71,-0.22,-1.27,-1.17,0.4,2.07,0,0,0,8.76,31-08-2026,0.9,LU2788007412,,"","","靈活策略","環球",""
U45632,"富達基金 - 環球收益基金A類別股份 (美元 C每月派息(G)-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","富達基金(香港)有限公司",N,Y,7.895,18-09-2026,美元,2,-0.12,-0.25,-1.3,-1.27,0.3,1.21,6.26,8.56,0.03,8.79,31-08-2026,0.9,LU2156566916,4,"","","靈活策略","環球",""
U43933,"鄧普頓環球總收益基金A類 (歐元 累積)","環球債券 - 靈活策略","環球債券 - 靈活策略","富蘭克林鄧普頓投資",N,N,25.23,18-09-2026,歐羅,4,8.05,-0.43,0.96,3.15,5.04,10.71,-0.76,1.96,1.87,0,31-08-2026,1.05,LU0260870661,3,"","","靈活策略","環球",""
U44316,"富達基金 - 環球短期債劵基金A類別股份 (美元 每月派息股份-現金派息)","環球債券 - 靈活策略","環球債券 - 靈活策略","富達基金(香港)有限公司",N,N,6.889,18-09-2026,美元,2,1.37,-0.13,-0.57,-0.09,1.37,2.78,6.9,8.59,0.4,4.07,31-08-2026,0.75,LU0390710613,5,"","","靈活策略","環球",""
U45021,"PIMCO GIS 收益基金E類收息股份 (瑞士法郎對沖 每月收息-現金派息)","環球債券 - 靈活策略 - 瑞士法郎對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,N,5.77,18-09-2026,瑞士法郎,3,-4.44,-0.52,-2.04,-3.39,-3.14,-3.8,0.14,3.08,0.59,7.69,31-08-2026,1.45,IE00BJMZC096,3,"","","靈活策略","環球",""
U44414,"鄧普頓環球總收益基金 A類 (歐元對沖 每月分派-現金派息)","環球債券 - 靈活策略 - 歐元對沖","環球債券 - 靈活策略","富蘭克林鄧普頓投資",N,N,3.97,18-09-2026,歐羅,4,4.18,-1.49,-0.1,3.02,4.01,5.69,-8.73,2.69,-6.16,7.81,31-08-2026,1.05,LU0366773504,1,"","","靈活策略","環球",""
U44883,"PIMCO GIS 收益基金E類收息股份 (歐元對沖 每月收息-現金派息)","環球債券 - 靈活策略 - 歐元對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,N,7.07,18-09-2026,歐羅,3,-2.83,-0.42,-1.85,-2.73,-1.84,-1.44,2.84,5.21,0.71,6.98,31-08-2026,1.45,IE00B8N0MW85,4,"","","靈活策略","環球",""
U44461,"滙豐環球投資基金 - 環球高入息債券AM3H類 (歐元對沖 每月分派-現金派息)","環球債券 - 靈活策略 - 歐元對沖","環球債券 - 靈活策略","滙豐環球投資管理 (香港) 有限公司",N,N,6.983,18-09-2026,歐羅,3,-1.33,-0.29,-0.85,-1.69,-0.58,-0.6,3.47,5.9,-2.1,4.07,31-08-2026,1.25,LU0798789284,2,"","","靈活策略","環球",""
U45842,"法巴 - 環球債券收息基金 經典 (歐元對沖 每月分派-現金派息)","環球債券 - 靈活策略 - 歐元對沖","環球債券 - 靈活策略","法國巴黎資產管理",N,Y,94.14,18-09-2026,歐羅,2,-1.79,0.1,-1.66,-2.81,-0.86,-1.79,0,0,0,5.61,31-08-2026,0.9,LU2925038577,,"","","靈活策略","環球",""
U45636,"富達基金 - 環球收益基金A類別股份 (歐元對沖 C每月派息(G)-現金派息)","環球債券 - 靈活策略 - 歐元對沖","環球債券 - 靈活策略","富達基金(香港)有限公司",N,Y,9.004,18-09-2026,歐羅,3,-1.34,-0.28,-1.42,-1.62,-0.53,-0.61,0,0,0,8.87,31-08-2026,0.9,LU2934473229,,"","","靈活策略","環球",""
U50023,"PIMCO GIS 收益基金II E類收息股份 (歐元對沖 每月收息-現金派息)","環球債券 - 靈活策略 - 歐元對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,Y,7.5,18-09-2026,歐羅,3,-2.89,-0.4,-1.85,-2.83,-2.17,-1.99,1.64,5.03,0,6.44,31-08-2026,1.45,IE00BMD8KY88,3,"","","靈活策略","環球",""
U44322,"滙豐環球投資基金 - 環球高入息債券AM2類 (美元 每月分派-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","滙豐環球投資管理 (香港) 有限公司",N,Y,7.788,18-09-2026,美元,3,-0.06,-0.27,-0.74,-1.31,0.29,1.31,5.31,8.28,-1.15,6.01,31-08-2026,1.25,LU0524291456,2,"","","靈活策略","環球",""
U44323,"滙豐環球投資基金 - 環球高入息債券AM2類 (港元 每月分派-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","滙豐環球投資管理 (香港) 有限公司",N,Y,61.108,18-09-2026,港元,3,0.75,-0.22,-0.7,-1.2,0.42,2.22,4.77,8.33,-0.61,6.01,31-08-2026,1.25,LU0524291456,2,"","","靈活策略","環球",""
U44349,"滙豐環球投資基金 - 環球高入息債券AM2類 (港元 每月分派-現金派息) (每月投資計劃)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","滙豐環球投資管理 (香港) 有限公司",N,Y,61.108,18-09-2026,港元,3,0.75,-0.22,-0.7,-1.2,0.42,2.22,4.77,8.33,-0.61,6.01,31-08-2026,1.25,LU0524291456,2,"","","靈活策略","環球",""
U44882,"PIMCO GIS 收益基金E類收息股份 (港元 每月收息-現金派息）","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,N,8.65,18-09-2026,港元,3,-0.8,-0.35,-1.65,-2.27,-0.83,1.38,4.01,7.72,2.25,6.39,31-08-2026,1.45,IE00B92ZW543,4,"","","靈活策略","環球",""
U44881,"PIMCO GIS 收益基金E類收息股份 (美元 每月收息-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,N,9.15,18-09-2026,美元,3,-1.56,-0.44,-1.62,-2.36,-1.02,0.37,4.45,7.74,1.63,6.4,31-08-2026,1.45,IE00B8K7V925,4,"","","靈活策略","環球",""
U44938,"富達基金 - 環球收益基金A類別股份 (港元對沖 每月特色派息(G)-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","富達基金(香港)有限公司",N,N,7.647,18-09-2026,港元,2,-1.13,-0.26,-1.39,-1.58,-0.48,-0.06,5.2,7.39,-0.05,6.52,31-08-2026,0.9,LU1481012216,2,"","","靈活策略","環球",""
U45838,"法巴 - 環球債券收息基金 經典 (港元 每月分派-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","法國巴黎資產管理",N,Y,96,18-09-2026,港元,2,0.16,0.17,-1.5,-2.33,0.07,0.86,0,0,0,7.26,31-08-2026,0.9,LU2925038064,,"","","靈活策略","環球",""
U45839,"法巴 - 環球債券收息基金 經典 (美元 每月分派-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","法國巴黎資產管理",N,Y,96.34,18-09-2026,美元,2,-0.65,0.12,-1.52,-2.44,-0.07,-0.04,0,0,0,7.22,31-08-2026,0.9,LU2925038148,,"","","靈活策略","環球",""
U45837,"法巴 - 環球債券收息基金 經典 (美元 累積)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","法國巴黎資產管理",N,Y,108.16,18-09-2026,美元,2,-0.64,0.12,-1.52,-2.44,-0.06,-0.06,0,0,0,0,31-08-2026,0.9,LU2925037926,,"","","靈活策略","環球",""
U45369,"施羅德環球基金系列-環球收息債券 A類股份 (美元 每月收息單位-現金派息 MF)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","施羅德投資管理(香港)有限公司",N,Y,83.5146,18-09-2026,美元,2,-0.25,-0.06,-0.79,-1.32,-0.07,0.9,6.18,9.55,0.95,6.7,31-08-2026,1.1,LU1514167136,3,"","","靈活策略","環球",""
U45674,"普徠仕(盧森堡)系列 – 多元收益債券基金A8P類 (美元 每月派息-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","普徠仕香港有限公司",N,Y,9.44,18-09-2026,美元,2,1.63,-0.16,-0.53,-0.38,1.62,2.62,0,0,0,8.26,31-08-2026,0.84,LU3047269116,,"","","靈活策略","環球",""
U45675,"普徠仕(盧森堡)系列 – 多元收益債券基金A8P類 (港元 每月派息-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","普徠仕香港有限公司",N,Y,96.05,18-09-2026,港元,2,2.51,-0.08,-0.49,-0.22,1.76,3.54,0,0,0,8.24,31-08-2026,0.84,LU3047269389,,"","","靈活策略","環球",""
U50021,"PIMCO GIS 收益基金II E類收息股份 (港元 每月收息-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,Y,8.48,18-09-2026,港元,2,-0.87,-0.35,-1.7,-2.4,-1.27,0.74,2.92,7.47,0,6.08,31-08-2026,1.45,IE00BHR40Y78,3,"","","靈活策略","環球",""
U45330,"施羅德環球基金系列 - 環球收息債券A類股份 (港元 MF 每月收息單位)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","施羅德投資管理(香港)有限公司",N,Y,676.6808,18-09-2026,港元,2,0.55,-0.02,-0.78,-1.22,0.04,1.78,5.55,9.75,1.54,6.67,31-08-2026,1.1,LU1514167649,3,"","","靈活策略","環球",""
U50020,"PIMCO GIS 收益基金II E類收息股份 (美元 每月收息-現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,Y,8.39,18-09-2026,美元,2,-1.71,-0.36,-1.72,-2.56,-1.32,-0.12,3.36,7.59,0,6.08,31-08-2026,1.45,IE00BHR40X61,3,"","","靈活策略","環球",""
U44293,"PIMCO多元化入息基金E類收息股份 (美元 現金派息)","環球債券 - 靈活策略 - 美元對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,N,12.1,18-09-2026,美元,3,0.15,-0.17,-0.98,-1.62,1.05,2.1,5.86,8.49,-0.95,4.89,31-08-2026,1.59,IE00B193MK07,2,"","","靈活策略","環球",""
U44416,"鄧普頓環球總收益基金 A類 (英鎊對沖 每月分派-現金派息)","環球債券 - 靈活策略 - 英鎊對沖","環球債券 - 靈活策略","富蘭克林鄧普頓投資",N,N,3.45,18-09-2026,英鎊,4,5.24,-1.43,0.08,3.22,5.01,7.36,-7.45,4.21,-5.46,7.91,31-08-2026,1.05,LU0316493153,1,"","","靈活策略","環球",""
U44884,"PIMCO GIS 收益基金E類收息股份 (英鎊對沖 每月收息-現金派息)","環球債券 - 靈活策略 - 英鎊對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,N,7.57,18-09-2026,英鎊,3,-1.66,-0.39,-1.7,-2.4,-1.07,0.29,4.16,6.71,1.38,6.52,31-08-2026,1.45,IE00BF01VX72,3,"","","靈活策略","環球",""
U45785,"普徠仕(盧森堡)系列 – 多元收益債券基金A8PN類 (英鎊對沖 每月派息-現金派息)","環球債券 - 靈活策略 - 英鎊對沖","環球債券 - 靈活策略","普徠仕香港有限公司",N,Y,9.53,18-09-2026,英鎊,2,1.57,-0.15,-0.52,-0.36,1.55,0,0,0,0,0,,0.84,LU3231915904,,"","","靈活策略","環球",""
U45843,"法巴 - 環球債券收息基金 經典 (英鎊對沖 每月分派-現金派息)","環球債券 - 靈活策略 - 英鎊對沖","環球債券 - 靈活策略","法國巴黎資產管理",N,Y,94.38,18-09-2026,英鎊,2,-0.75,0.12,-1.52,-2.57,-0.19,-0.18,0,0,0,7.41,31-08-2026,0.9,LU2925038650,,"","","靈活策略","環球",""
U45637,"富達基金 - 環球收益基金A類別股份 (英鎊對沖 C每月派息(G)-現金派息)","環球債券 - 靈活策略 - 英鎊對沖","環球債券 - 靈活策略","富達基金(香港)有限公司",N,Y,0.93,18-09-2026,英鎊,3,-0.09,-0.21,-1.2,-1.25,0.34,1.13,0,0,0,8.73,31-08-2026,0.9,LU2934473575,,"","","靈活策略","環球",""
U45281,"FTGF布蘭迪環球增值入息基金 A 類英鎊(已對沖)精選派息(每月現金派息)","環球債券 - 靈活策略 - 英鎊對沖","環球債券 - 靈活策略","美盛資產管理香港有限公司",N,N,69.53,18-09-2026,英鎊,4,1.57,-0.23,-1.31,-1.03,1.85,3.27,1.18,6.34,0,9.38,31-08-2026,1.1,IE000G1ER031,2,"","","靈活策略","環球",""
U50024,"PIMCO GIS 收益基金II E類收息股份 (英鎊對沖 每月收息-現金派息)","環球債券 - 靈活策略 - 英鎊對沖","環球債券 - 靈活策略","PIMCO Asia Limited",N,Y,8.18,18-09-2026,英鎊,3,-1.71,-0.37,-1.78,-2.53,-1.41,-0.23,3.08,6.56,0,6.13,31-08-2026,1.45,IE00BMD8KZ95,3,"","","靈活策略","環球",""
U44147,"恒生中國內地債券基金A類單位 (港元 累積收益單位)","人民幣債券 - 在岸","債券 - 在岸","恒生投資管理有限公司",N,N,35.29,18-09-2026,港元,3,6.17,0.03,0.2,1.12,3.49,7.4,2.76,2.36,6.18,0,31-08-2026,1,HK0000284742,2,"","","綜合","中國",""
U44154,"恒生中國內地債券基金A類單位 (港元 每月派息單位-現金派息)","人民幣債券 - 在岸","債券 - 在岸","恒生投資管理有限公司",Y,Y,20.4,18-09-2026,港元,3,6.19,0.05,0.23,1.12,3.52,7.44,2.77,2.36,6.23,2.42,31-08-2026,1,HK0000284759,2,"","","綜合","中國",""
U45204,"晉達環球策略基金 - 全方位中國債券基金A(港元 收益-3股份 每月現金派息)","人民幣債券 - 在岸","債券 - 在岸","晉達資產管理香港有限公司",N,N,76.21,18-09-2026,港元,3,7.04,0.26,0.11,2.41,4.69,5.5,5.07,-7.08,3.1,2.89,31-08-2026,1,LU1735825108,1,"","","綜合","中國",""
U45717,"路博邁 - 企業混合債券基金A類股份 (歐元 每月分派-現金派息)","歐元次級債券","次級債券","路博邁亞洲有限公司",N,Y,7.87,18-09-2026,歐羅,3,-0.94,0,-1.16,-1.48,-0.35,-0.17,8.41,7.57,-0.05,5.64,31-08-2026,1.2,IE00BDHBH727,2,"","","企業","環球",""
U44737,"惠理價值基金 C單位 (港元 累積單位) (每月投資計劃)","大中華股票","大中華股票","惠理基金管理公司",N,N,245.4701,18-09-2026,港元,4,15.18,-0.56,-2.78,-4.07,10.46,15.26,10.62,-5.3,-6.66,0,31-08-2026,1.25,HK0000264884,3,"","","","","綜合"
U74290,"富達基金 - 大中華基金A類別股份 (美元 派息股份)","大中華股票","大中華股票","富達基金(香港)有限公司",N,N,340.2,18-09-2026,美元,4,9.3,-0.15,-1.1,-0.03,7.85,6.3,10,-3.13,-5.47,0.18,31-08-2026,1.5,LU0048580855,3,"","","","","綜合"
U44895,"惠理價值基金 C單位 MDIS 類別 (美元 每月分派-現金派息)","大中華股票","大中華股票","惠理基金管理公司",N,N,11.86,18-09-2026,美元,4,15.06,-0.59,-2.71,-4.11,11.03,15.04,11.18,-5.35,-7.74,1.94,31-08-2026,1.25,HK0000360880,3,"","","","","綜合"
U44896,"惠理價值基金 C單位 MDIS 類別 (港元 每月分派-現金派息)","大中華股票","大中華股票","惠理基金管理公司",N,N,11.86,18-09-2026,港元,4,15.48,-0.59,-2.79,-4.12,10.82,15.56,10.59,-5.27,-7.04,1.92,31-08-2026,1.25,HK0000360898,3,"","","","","綜合"
U44613,"惠理中華新星基金 A類別 (美元)","大中華股票","大中華股票","惠理基金管理公司",N,N,17.49,18-09-2026,美元,5,17.54,-0.79,-2.89,-4.48,13.2,17.62,13.71,-6.32,-7.63,0,31-08-2026,1.5,KYG9317M1603,4,"","","","","綜合"
U44615,"惠理中華新星基金 A2 QDIS類別 (港元 每季分派-現金派息)","大中華股票","大中華股票","惠理基金管理公司",N,N,16.15,18-09-2026,港元,5,19.03,-0.8,-2.77,-3.97,13.63,19.13,13.02,-6.08,-6.65,1.47,31-08-2026,1.5,KYG9317M1116,4,"","","","","綜合"
U44614,"惠理中華新星基金 A類別 (港元)","大中華股票","大中華股票","惠理基金管理公司",N,N,107.3,18-09-2026,港元,5,18.64,-0.8,-2.77,-4.03,13.71,18.79,13.03,-6.12,-6.56,0,31-08-2026,1.5,KYG9317M1033,4,"","","","","綜合"
U39916,"JPM大中華(美元)A股(分派)","大中華股票","大中華股票","摩根資產管理",N,Y,76.67,18-09-2026,美元,4,15.58,0.95,-2.11,-4.85,7.26,14.8,12.08,-10.18,-9.68,0.28,31-08-2026,1.5,LU0117841782,4,"","","","","綜合"
U42885,"施羅德環球基金系列 - 大中華A類股份 (美元 累積單位)","大中華股票","大中華股票","施羅德投資管理(香港)有限公司",N,Y,105.4172,18-09-2026,美元,4,12.95,0.05,-0.9,0.35,8.86,12,6.75,-9.23,-7.08,0,31-08-2026,1.5,LU0140636845,4,"","","","","綜合"
U44435,"惠理價值基金 C單位 (港元 累積單位)","大中華股票","大中華股票","惠理基金管理公司",N,N,245.4701,18-09-2026,港元,4,15.18,-0.56,-2.78,-4.07,10.46,15.26,10.62,-5.3,-6.66,0,31-08-2026,1.25,HK0000264884,3,"","","","","綜合"
U44389,"惠理價值基金 C單位 (美元 累積單位)","大中華股票","大中華股票","惠理基金管理公司",N,N,31.29,18-09-2026,美元,4,14.28,-0.6,-2.8,-4.17,10.37,14.24,11.3,-5.47,-7.2,0,31-08-2026,1.25,HK0000264884,3,"","","","","綜合"
U42414,"景順大中華基金","大中華股票","大中華股票","景順投資管理有限公司",N,N,94.41,18-09-2026,美元,4,18.59,0.62,0.51,-0.36,13.03,19.42,13.63,-7.96,-18.32,0,31-08-2026,1.5,LU0048816135,4,"","","","","綜合"
U45645,"惠理價值基金 D單位 (美元 每月分派-現金派息)","大中華股票","大中華股票","惠理基金管理公司",Y,Y,13.45,18-09-2026,美元,4,15.75,-0.74,-3.29,-4.95,11.82,15.64,0,0,0,1.93,31-08-2026,1.5,HK0001047122,,"","","","","綜合"
U45644,"惠理價值基金 D單位 (港元  每月分派-現金派息)","大中華股票","大中華股票","惠理基金管理公司",Y,Y,13.58,18-09-2026,港元,4,16.54,-0.73,-3.33,-4.91,11.78,16.52,0,0,0,1.89,31-08-2026,1.5,HK0001047080,,"","","","","綜合"
U42348,"恒生太平洋指數基金A類單位 (美元)","亞太區不包括日本股票","亞太區不包括日本股票","恒生投資管理有限公司",Y,Y,87.15,18-09-2026,美元,4,48.72,-0.35,1.94,-4.24,24.96,62.87,5.35,12.31,5.77,0,31-08-2026,1,HK0000284783,4,"","","","","綜合"
U42360,"恒生太平洋指數基金A類單位 (美元) (每月投資計劃)","亞太區不包括日本股票","亞太區不包括日本股票","恒生投資管理有限公司",N,Y,87.15,18-09-2026,美元,4,48.72,-0.35,1.94,-4.24,24.96,62.87,5.35,12.31,5.77,0,31-08-2026,1,HK0000284783,4,"","","","","綜合"
U45420,"滙豐集合投資信託 - 滙豐蛻變亞洲股票基金AC類 (港元 累積)","亞太區不包括日本股票","亞太區不包括日本股票","滙豐環球投資管理 (香港) 有限公司",Y,Y,12.829,18-09-2026,港元,4,16.15,0.46,-2.52,-9.97,16.11,10.28,13.25,8.26,1.29,0,31-08-2026,1.5,HK0000656980,1,"","","","","綜合"
U27076,"富達基金 - 太平洋基金A類別股份 (美元 派息股份)","亞太區股票","亞太區股票","富達基金(香港)有限公司",N,N,63.67,18-09-2026,美元,4,20.62,-1.09,-0.39,-0.71,12.98,23.25,1.11,6.7,3.81,0.08,31-08-2026,1.5,LU0049112450,2,"","","","","綜合"
U43248,"安聯東方入息基金A類收息股份 (美元)","亞太區股票","亞太區股票","安聯環球投資亞太有限公司",N,Y,328.57,18-09-2026,美元,4,28.7,0.54,1.35,-3.4,9.57,33.29,0.77,12.95,9.2,1.08,31-08-2026,1.8,LU0348783233,4,"","","","","綜合"
U43644,"安聯東方入息基金AT類累積股份 (美元)","亞太區股票","亞太區股票","安聯環球投資亞太有限公司",N,Y,383.58,18-09-2026,美元,4,28.7,0.55,1.35,-3.4,9.57,33.29,0.77,12.95,9.2,0,31-08-2026,1.8,LU0348784397,4,"","","","","綜合"
U45722,"鄧普頓智選亞太股票入息基金 A類 (港元 每月分派-現金派息)","亞太區股票","亞太區股票","富蘭克林鄧普頓投資",Y,Y,15.5,18-09-2026,港元,4,30.91,-1.15,1.37,-4.78,19.03,40.01,10.94,12.65,0,4.08,31-08-2026,1.5,HK0000740297,5,"","","","","綜合"
U45721,"鄧普頓智選亞太股票入息基金 A類 (美元 每月分派-現金派息)","亞太區股票","亞太區股票","富蘭克林鄧普頓投資",Y,Y,15.42,18-09-2026,美元,4,29.83,-1.22,1.31,-4.87,18.86,38.93,11.52,12.54,0,4.09,31-08-2026,1.5,HK0000740289,5,"","","","","綜合"
U33910,"安聯東方入息基金P類收息股份 (美元)","亞太區股票","亞太區股票","安聯環球投資亞太有限公司",N,N,359.48,18-09-2026,美元,4,29.48,0.56,1.43,-3.19,10.04,34.42,1.64,13.9,10.13,1.06,31-08-2026,0.95,LU0348786921,4,"","","","","綜合"
U24894,"摩根太平洋證券(美元)(累計)","亞太區股票","亞太區股票","摩根資產管理",N,N,711.85,18-09-2026,美元,4,17.41,-0.23,-1.32,-7.42,8.82,19.53,8.23,2.38,-0.74,0,31-08-2026,1.5,HK0000055746,3,"","","","","綜合"
U39849,"富達基金 - 澳洲多元化股票基金A類別股份 (澳元 派息股份)","澳洲及紐西蘭股票","澳洲及紐西蘭股票","富達基金(香港)有限公司",N,Y,98.69,18-09-2026,澳元,4,0.86,-1.61,-3.72,-1.54,4.6,-0.86,11.42,8.74,22.58,0.82,31-08-2026,1.5,LU0048574536,2,"","","","","綜合"
U40065,"霸菱澳洲基金A類別美元收益","澳洲及紐西蘭股票","澳洲及紐西蘭股票","霸菱資產管理(亞洲)有限公司",N,N,158.23,18-09-2026,美元,4,9.98,-0.7,-2.02,2.34,4.71,7.39,-0.83,11.12,11.16,1.02,31-08-2026,1.25,IE0000829451,1,"","","","","綜合"
U44170,"貝萊德全球基金 - 中國基金A2類股份 (港元)","中國股票","中國股票","貝萊德資產管理北亞有限公司",N,N,19.56,18-09-2026,港元,5,-6.5,-0.71,-6.5,-8.08,-7.43,-10.56,14.89,-11.97,-14.51,0,31-08-2026,1.5,LU0359201885,3,"","","","","綜合"
U44171,"貝萊德全球基金 - 中國基金A2類股份 (美元)","中國股票","中國股票","貝萊德資產管理北亞有限公司",N,N,19.08,18-09-2026,美元,5,-7.2,-0.73,-6.52,-8.18,-7.51,-11.34,15.69,-12.14,-14.97,0,31-08-2026,1.5,LU0359201612,3,"","","","","綜合"
U44890,"瑞銀中國精選股票基金(P 港元 累計)","中國股票","中國股票","瑞銀資產管理（香港）有限公司",N,Y,1660.95,18-09-2026,港元,5,-11.81,-0.34,-4.76,-2.24,-10.1,-16.22,3.76,-15.01,-25.48,0,31-08-2026,1.87,LU1008478684,3,"","","","","綜合"
U44889,"瑞銀中國精選股票基金(P 港元 每月分派-現金派息)","中國股票","中國股票","瑞銀資產管理（香港）有限公司",N,Y,1386.44,18-09-2026,港元,5,-11.96,-0.51,-4.92,-2.41,-10.25,-16.37,3.76,-15.01,-25.48,2.15,31-08-2026,1.87,LU1152091754,3,"","","","","綜合"
U44697,"惠理智者之選基金 - 中華匯聚基金A類別 (美元 累積單位)","中國股票","中國股票","惠理基金管理公司",N,N,202.19,18-09-2026,美元,5,-7.12,-1.62,-2.65,-1.69,-6.42,-7.45,8.56,-12.14,-14.76,0,31-08-2026,1.25,KYG9317Q1047,4,"","","","","綜合"
U44888,"瑞銀中國精選股票基金(P 美元 每月分派-現金派息)","中國股票","中國股票","瑞銀資產管理（香港）有限公司",N,Y,136.99,18-09-2026,美元,5,-12.65,-0.55,-4.94,-2.5,-10.32,-17.09,4.36,-15.14,-25.9,2.16,31-08-2026,1.87,LU1152091168,3,"","","","","綜合"
U44984,"恒生中國新經濟指數基金A類單位 (港元 累積) (每月投資計劃)","中國股票","中國股票","恒生投資管理有限公司",N,Y,11.41,18-09-2026,港元,4,-7.69,0.97,-7.16,-8.21,-3.79,-12.83,15.97,-10.45,-18.19,0,31-08-2026,1,HK0000457074,3,"","","","","綜合"
U44705,"首域盈信中國增長基金類別 I (美元 累積股份)","中國股票","中國股票","首源投資(香港)有限公司",N,Y,189.0653,18-09-2026,美元,4,-3.72,-0.97,-4.26,-5.85,-4.8,-6.07,3.43,-17.94,-6,0,31-08-2026,1.75,IE0008368742,3,"","","","","綜合"
U74464,"安聯中國股票基金A類收息股份 (美元)","中國股票","中國股票","安聯環球投資亞太有限公司",N,N,64.6411,18-09-2026,美元,5,-3.98,0.42,-3.94,-2.68,-4.34,-9.92,11.94,-18.71,-17.78,1.35,31-08-2026,2.25,LU0348825331,3,"","","","","綜合"
U44962,"恒生中國新經濟指數基金A類單位 (港元 累積)","中國股票","中國股票","恒生投資管理有限公司",Y,Y,11.41,18-09-2026,港元,4,-7.69,0.97,-7.16,-8.21,-3.79,-12.83,15.97,-10.45,-18.19,0,31-08-2026,1,HK0000457074,3,"","","","","綜合"
U44372,"富達基金 - 中國消費動力基金A類別股份 (美元 累積)","中國股票","中國股票","富達基金(香港)有限公司",N,Y,14.32,18-09-2026,美元,5,-13.37,-0.28,-5.35,-1.72,-8.09,-20.04,-2.94,-16.27,-25.01,0,31-08-2026,1.5,LU0594300179,2,"","","","","綜合"
